video_id,comment_id,parent_id,author_channel_id,author_display_name,text,like_count,reply_count,published_at,is_reply,niche
4_fDKEmJx_o,UgxS8i2JK4a_WmHU1M14AaABAg,,UCwC5RMN4bDQdGexyG60aTHw,@juan_melonnn,dang me so early,1,0,2025-09-22T11:01:00Z,False,valorant
4_fDKEmJx_o,UgwOXqamIIEarxgiEbZ4AaABAg,,UCdggSRSgj7iqjBIC85e0kZw,@sadmatt5938,Hope you recover soon!,0,0,2025-09-22T22:32:42Z,False,valorant
zniikXNIIpE,UgxhtxoF8dI4g63qkzp4AaABAg,,UCpF6vEMJLBCyKo0VSYehV7g,@vzyrton9677,"would you mind sharing your scuf valor settings? do you use exponential,linear, aggressive, dynamic",1,0,2026-04-13T09:55:07Z,False,valorant
ciJomoDnNAY,Ugwh4EHks8PkCBVZSNR4AaABAg,,UCYknVSrTFQ-doRIQN5XcRcA,@Chire5,8th fr,0,0,2026-04-29T12:03:14Z,False,valorant
GlW8KmJaRvk,UgwYSxdm1Y89-jhlgY94AaABAg,,UCLKhn1xsAe_6rWmqmiSRO0Q,@valopinion,WHAT A VIDEO LUV IT,1,0,2024-10-09T03:22:03Z,False,valorant
UKJeCLrLEKg,UgzoP9kR46dpN9Bd1oZ4AaABAg.ATlwNMkDdyqAToPNYTod4G,UgzoP9kR46dpN9Bd1oZ4AaABAg,UCFDmQjRQXgNg-pUPJNdWpNw,@AEJxd3,@reeb2284 lethal company,0,0,2026-03-01T12:40:33Z,True,valorant
GlW8KmJaRvk,UgyAJsiry6P3OoSOFNJ4AaABAg.A9mUIJcqsXFADW0MeF98XE,UgyAJsiry6P3OoSOFNJ4AaABAg,UCju_FjxXFTAryuJtHWymuOw,@Sperrowdev,XD baat to sai hai,1,0,2025-01-20T07:34:06Z,True,valorant
QQYKN5MWFyU,Ugy4Fwk-xwOD53GCPJJ4AaABAg,,UCo6i8W-SskyzvRGMaZUI6Hg,@phangvyshawn,What ur sens,0,0,2022-09-21T01:24:38Z,False,valorant
v2uMRyYZJ3Q,Ugy68fjffLThcIzwxUR4AaABAg.AClo3INkolGADdVBKm4hDM,Ugy68fjffLThcIzwxUR4AaABAg,UCmc3OMWbnGT4Bfs44lDdgog,@bl00dfeindd0minium3,Well some of them lowkey are nicer without the upgrades. I believe there is a whole post about why some ones are used this way tho I’m not entirely certain the reason again,0,0,2025-01-23T14:37:21Z,True,valorant
UKJeCLrLEKg,UgxV0jQu9qNkbaPodaJ4AaABAg,,UC-KZVPTtv8YtpvYfdeZ4UHw,@Vingosh,Joe temet best duo,0,0,2026-02-28T21:00:24Z,False,valorant
8cKnsC2lOcI,Ugy_Pzk6MK4LwDpxdXt4AaABAg,,UCb0GqL2A_z3UlBK5_rYtHRw,@vanilla5930,5:49 aint no way that shot didnt hit,5,0,2025-10-12T21:30:09Z,False,valorant
IJdbjEi4OvQ,UgyaiHbfo5XE0_vC4b54AaABAg,,UC6mnYS6jxDQvGv19OXQMd4A,@axienitey,"overall, the bundle is mid (personal opinion)",0,0,2026-04-16T21:52:06Z,False,valorant
mGMjmmjojBA,UgxK0pbpCwJU2Dogq5Z4AaABAg,,UCYYkUa56P2Xl60rqKcW861w,@Curiositywyd,my biggest opp i swear triple neg,0,0,2025-03-25T21:31:43Z,False,valorant
AcrY3p4mncw,Ugx8rHYLGA82nKnPigV4AaABAg.AU4QYYb2yGOAUsiPuAIXWn,Ugx8rHYLGA82nKnPigV4AaABAg,UC1wiRE5YPuiZfE2XYn-Joqw,@Itzflom,Unless ur apac it is😔,0,0,2026-03-28T01:23:59Z,True,valorant
